時間,timeStep,TSPS,,並進バネ,並進ダンパ,回転バネ,回転ダンパ,floorDF,floorSF,floorCR,
0.221579,0.221579,4.51306,,100000,1000,100000,100,0,0,0,
0.233549,0.01197,83.5422,,100000,1000,100000,100,0,0,0,
0.245512,0.011963,83.5911,,100000,1000,100000,100,0,0,0,
0.257475,0.011963,83.5911,,100000,1000,100000,100,0,0,0,
0.269445,0.01197,83.5422,,100000,1000,100000,100,0,0,0,
0.281414,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
0.293379,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
0.305346,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
0.31732,0.011974,83.5143,,100000,1000,100000,100,0,0,0,
0.329284,0.011964,83.5841,,100000,1000,100000,100,0,0,0,
0.341252,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
0.353218,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
0.364692,0.011474,87.1536,,100000,1000,100000,100,0,0,0,
0.376662,0.01197,83.5422,,100000,1000,100000,100,0,0,0,
0.388631,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
0.401598,0.012967,77.1188,,100000,1000,100000,100,0,0,0,
0.413077,0.011479,87.1156,,100000,1000,100000,100,0,0,0,
0.425046,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
0.43701,0.011964,83.5841,,100000,1000,100000,100,0,0,0,
0.449484,0.012474,80.1667,,100000,1000,100000,100,0,0,0,
0.461452,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
0.473423,0.011971,83.5352,,100000,1000,100000,100,0,0,0,
0.485266,0.011843,84.4381,,100000,1000,100000,100,0,0,0,
0.496745,0.011479,87.1156,,100000,1000,100000,100,0,0,0,
0.508715,0.01197,83.5422,,100000,1000,100000,100,0,0,0,
0.520681,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
0.532648,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
0.544618,0.01197,83.5422,,100000,1000,100000,100,0,0,0,
0.55758,0.012962,77.1486,,100000,1000,100000,100,0,0,0,
0.569553,0.011973,83.5213,,100000,1000,100000,100,0,0,0,
0.581522,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
0.593489,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
0.605452,0.011963,83.5911,,100000,1000,100000,100,0,0,0,
0.617418,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
0.629385,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
0.641355,0.01197,83.5422,,100000,1000,100000,100,0,0,0,
0.653321,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
0.665288,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
0.677253,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
0.689229,0.011976,83.5003,,100000,1000,100000,100,0,0,0,
0.7012,0.011971,83.5352,,100000,1000,100000,100,0,0,0,
0.71316,0.01196,83.612,,100000,1000,100000,100,0,0,0,
0.725125,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
0.737094,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
0.749062,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
0.76103,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
0.773001,0.011971,83.5352,,100000,1000,100000,100,0,0,0,
0.785172,0.012171,82.1625,,100000,1000,100000,100,0,0,0,
0.798139,0.012967,77.1188,,100000,1000,100000,100,0,0,0,
0.809105,0.010966,91.191,,100000,1000,100000,100,0,0,0,
0.821071,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
0.833038,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
0.84501,0.011972,83.5282,,100000,1000,100000,100,0,0,0,
0.856984,0.011974,83.5143,,100000,1000,100000,100,0,0,0,
0.868943,0.011959,83.619,,100000,1000,100000,100,0,0,0,
0.880913,0.01197,83.5422,,100000,1000,100000,100,0,0,0,
0.892881,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
0.90485,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
0.916815,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
0.928787,0.011972,83.5282,,100000,1000,100000,100,0,0,0,
0.940751,0.011964,83.5841,,100000,1000,100000,100,0,0,0,
0.952719,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
0.964688,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
0.976669,0.011981,83.4655,,100000,1000,100000,100,0,0,0,
0.988622,0.011953,83.661,,100000,1000,100000,100,0,0,0,
1.00059,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
1.01355,0.012967,77.1188,,100000,1000,100000,100,0,0,0,
1.02552,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
1.03749,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
1.04945,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
1.06142,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
1.0734,0.011975,83.5073,,100000,1000,100000,100,0,0,0,
1.08536,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
1.09733,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
1.1093,0.011971,83.5352,,100000,1000,100000,100,0,0,0,
1.12126,0.011964,83.5841,,100000,1000,100000,100,0,0,0,
1.13323,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
1.1452,0.011971,83.5352,,100000,1000,100000,100,0,0,0,
1.15725,0.012044,83.0289,,100000,1000,100000,100,0,0,0,
1.16923,0.011983,83.4516,,100000,1000,100000,100,0,0,0,
1.1811,0.01187,84.246,,100000,1000,100000,100,0,0,0,
1.19307,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
1.20503,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
1.217,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
1.22897,0.011972,83.5282,,100000,1000,100000,100,0,0,0,
1.24094,0.011971,83.5352,,100000,1000,100000,100,0,0,0,
1.2529,0.011959,83.619,,100000,1000,100000,100,0,0,0,
1.26487,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
1.27683,0.011964,83.5841,,100000,1000,100000,100,0,0,0,
1.2888,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
1.30077,0.011973,83.5213,,100000,1000,100000,100,0,0,0,
1.31274,0.011963,83.5911,,100000,1000,100000,100,0,0,0,
1.3247,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
1.33667,0.01197,83.5422,,100000,1000,100000,100,0,0,0,
1.34867,0.011992,83.3889,,100000,1000,100000,100,0,0,0,
1.36063,0.011962,83.5981,,100000,1000,100000,100,0,0,0,
1.37257,0.011946,83.71,,100000,1000,100000,100,0,0,0,
1.38554,0.012965,77.1307,,100000,1000,100000,100,0,0,0,
1.39751,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
1.4095,0.011995,83.3681,,100000,1000,100000,100,0,0,0,
1.42145,0.011945,83.717,,100000,1000,100000,100,0,0,0,
1.43292,0.011473,87.1612,,100000,1000,100000,100,0,0,0,
1.44489,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
1.45685,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
1.46882,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
1.48082,0.012001,83.3264,,100000,1000,100000,100,0,0,0,
1.49276,0.011936,83.7802,,100000,1000,100000,100,0,0,0,
1.50477,0.012011,83.257,,100000,1000,100000,100,0,0,0,
1.5167,0.011924,83.8645,,100000,1000,100000,100,0,0,0,
1.52867,0.011973,83.5213,,100000,1000,100000,100,0,0,0,
1.54063,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
1.5526,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
1.56457,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
1.57656,0.011995,83.3681,,100000,1000,100000,100,0,0,0,
1.5895,0.012939,77.2857,,100000,1000,100000,100,0,0,0,
1.60147,0.011964,83.5841,,100000,1000,100000,100,0,0,0,
1.61344,0.011972,83.5282,,100000,1000,100000,100,0,0,0,
1.62543,0.011993,83.382,,100000,1000,100000,100,0,0,0,
1.63737,0.011939,83.7591,,100000,1000,100000,100,0,0,0,
1.64937,0.011996,83.3611,,100000,1000,100000,100,0,0,0,
1.66133,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
1.6733,0.011966,83.5701,,100000,1000,100000,100,0,0,0,
1.68528,0.011977,83.4934,,100000,1000,100000,100,0,0,0,
1.69721,0.011931,83.8153,,100000,1000,100000,100,0,0,0,
1.70918,0.011971,83.5352,,100000,1000,100000,100,0,0,0,
1.72115,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
1.73312,0.01197,83.5422,,100000,1000,100000,100,0,0,0,
1.74509,0.011968,83.5562,,100000,1000,100000,100,0,0,0,
