時間,timeStep,TSPS,cube0PosX,cube0PosY,cube0PosZ,cube0RotX,cube0RotY,cube0RotZ,cube0VelX,cube0VelY,cube0VelZ,cube0AngVelX,cube0AngVelY,cube0AngVelZ,cube0Density,cube0Mass,cube0HWD,cube0SF,cube0DF,cube0CR,cube1PosX,cube1PosY,cube1PosZ,cube1RotX,cube1RotY,cube1RotZ,cube1VelX,cube1VelY,cube1VelZ,cube1AngVelX,cube1AngVelY,cube1AngVelZ,cube1Density,cube1Mass,cube1HWD,cube1SF,cube1DF,cube1CR,cube2PosX,cube2PosY,cube2PosZ,cube2RotX,cube2RotY,cube2RotZ,cube2VelX,cube2VelY,cube2VelZ,cube2AngVelX,cube2AngVelY,cube2AngVelZ,cube2Density,cube2Mass,cube2HWD,cube2SF,cube2DF,cube2CR,,並進バネ,並進ダンパ,回転バネ,回転ダンパ,floorDF,floorSF,floorCR,
0.211366,0.211366,0,-2,0.3,-4.7944e-09,0,0,0,0.0559568,0.00323297,-0.00521192,0.00533397,-0.0179589,-0.0443204,500,62.5,0.5,100,100,0,2,0.3,5.08941e-09,0,0,0,-0.0543623,0.00145668,0.00321134,-0.0209998,0.0397243,-0.0826418,500,62.5,0.5,100,100,0,2.57563e-08,0.5,-2.16225e-10,0,0,0,7.36955e-06,-7.36138e-06,1.99473e-08,2.96692e-08,4.81865e-10,-1.47257e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.236748,0.025382,0,-1.99943,0.299608,-6.86394e-05,-0.00276485,-0.0110044,-0.0645237,0.0462759,-0.0308918,-0.00555229,-0.00265126,-0.0156744,-0.089574,500,62.5,0.5,100,100,0,1.99948,0.29957,3.52433e-05,-0.0116238,0.024185,-0.0152475,-0.0422639,-0.0338042,0.00312614,-0.0178974,0.0296604,-0.018716,500,62.5,0.5,100,100,0,1.4354e-07,0.5,2.21502e-08,-6.05901e-07,1.47129e-06,3.87509e-05,-0.000153536,-2.60914e-05,9.62411e-05,7.08831e-05,-2.06814e-06,7.87543e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.263864,0.027116,0,-1.99926,0.298992,-7.79774e-05,0.00166658,0.00249244,-0.0180371,0.0214105,-0.04915,-0.00245919,0.00396651,0.00977994,0.0609826,500,62.5,0.5,100,100,0,1.99932,0.299006,6.78212e-05,0.00400382,-0.0111819,0.0445828,-0.0190132,-0.0500786,0.00197171,0.02147,-0.04068,0.0601774,500,62.5,0.5,100,100,0,1.63898e-07,0.5,1.23524e-08,8.25519e-07,6.75685e-08,4.77375e-05,-0.000163268,-2.77433e-05,9.97906e-05,7.27494e-05,-2.27848e-06,8.3553e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.294181,0.030317,0,-1.99932,0.298453,-7.28238e-05,0.001351,0.00361288,-0.0173176,0.00494993,-0.0628871,-0.00159818,0.00111975,-0.00435937,0.0306307,500,62.5,0.5,100,100,0,1.99936,0.298427,5.99281e-05,0.010639,-0.00975059,0.0545544,-0.00587657,-0.0714586,0.000177136,0.00930634,-0.00310705,-0.0215142,500,62.5,0.5,100,100,0,7.85142e-08,0.5,-9.50209e-09,2.50914e-06,2.48072e-06,5.74624e-05,-0.000165893,-2.83428e-05,9.95421e-05,7.14413e-05,-2.37886e-06,8.38816e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.320825,0.026644,0,-1.99949,0.297791,-6.55511e-05,-0.00201883,-0.00380284,-0.0407822,-0.0104523,-0.0470318,0.000406974,-0.00534525,-0.0131461,-0.0269767,500,62.5,0.5,100,100,0,1.99955,0.297767,2.96817e-05,-0.00974175,0.0106749,-0.0235446,0.0128638,-0.0445919,-0.00252646,-0.0289165,0.0295007,-0.109529,500,62.5,0.5,100,100,0,1.42135e-07,0.5,1.12327e-08,-1.7825e-06,-9.8354e-07,4.13616e-05,-0.000163026,-2.77831e-05,0.000101537,7.27878e-05,-2.20064e-06,8.30916e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.348793,0.027968,0,-1.99974,0.297694,-3.92837e-05,-0.000887506,-0.000773676,-0.038626,-0.0214552,-0.0124041,0.00192282,-0.00345386,0.00218496,0.0180291,500,62.5,0.5,100,100,0,1.99981,0.297734,3.18745e-06,-0.00193512,0.00311844,0.0359403,0.0219748,-0.00644891,-0.00401482,0.00893978,0.00251989,0.0282746,500,62.5,0.5,100,100,0,5.90065e-08,0.5,1.65091e-08,-3.18423e-06,-4.4553e-07,5.38773e-05,-0.00016547,-2.8363e-05,0.000100562,7.13248e-05,-2.32571e-06,8.32396e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.379621,0.030828,0,-2,0.297895,-8.53469e-06,-0.000152467,0.00294227,-0.0315677,-0.0251654,0.00818927,0.00299514,-0.00598515,0.00777878,0.0179731,500,62.5,0.5,100,100,0,2.00005,0.297987,-2.89485e-05,0.00743065,-0.000121459,0.0459407,0.0239688,0.0192706,-0.00426128,0.0131558,0.00440145,-0.0116264,500,62.5,0.5,100,100,0,1.67255e-07,0.5,3.67809e-08,1.1693e-05,2.75505e-06,4.91438e-05,-0.000162444,-2.75783e-05,0.000101523,7.32719e-05,-2.17563e-06,8.34088e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.407555,0.027934,0,-2.0002,0.298199,1.77301e-05,-0.00258971,0.00203938,-0.0424505,-0.0234535,0.0193303,0.0031999,-0.00850294,0.00453735,-0.0163549,500,62.5,0.5,100,100,0,2.00023,0.298339,-5.56607e-05,0.00077342,0.00306764,0.0268544,0.020962,0.0309303,-0.0038424,-0.00847373,0.0121271,-0.0327219,500,62.5,0.5,100,100,0,9.68947e-08,0.5,-2.65891e-08,-2.31116e-06,1.39442e-06,4.38206e-05,-0.000166568,-2.69374e-05,9.85859e-05,7.70478e-05,-2.46514e-06,8.80781e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.430324,0.022769,0,-2.00032,0.298483,3.68757e-05,-0.00148612,0.00138866,-0.0461494,-0.0188403,0.0222937,0.00286743,-0.00263252,0.00555055,-0.0250252,500,62.5,0.5,100,100,0,2.00032,0.298679,-6.79438e-05,-0.00247726,0.00275714,0.0358906,0.0153704,0.0329883,-0.00289358,-0.00667649,0.00873021,0.0147936,500,62.5,0.5,100,100,0,1.13768e-07,0.5,-4.49639e-08,1.22328e-06,9.4418e-07,5.1253e-05,-0.000164187,-2.64836e-05,0.000100184,7.77205e-05,-2.31657e-06,8.71935e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.458819,0.028495,0,-2.00036,0.298688,4.75154e-05,0.000164719,0.00200106,-0.0441185,-0.0131379,0.0193785,0.00227275,-0.000428009,0.00747504,-0.0294308,500,62.5,0.5,100,100,0,2.00034,0.298915,-6.78759e-05,0.00115934,0.00141031,0.0429617,0.00903618,0.0286701,-0.00171017,0.00157626,0.00579259,0.0304288,500,62.5,0.5,100,100,0,1.05813e-07,0.5,3.24605e-08,-6.92695e-06,1.34061e-06,3.94306e-05,-0.000163552,-2.82643e-05,0.000103666,7.12497e-05,-2.13989e-06,8.1278e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
