時間,timeStep,TSPS,cube0PosX,cube0PosY,cube0PosZ,cube0RotX,cube0RotY,cube0RotZ,cube0VelX,cube0VelY,cube0VelZ,cube0AngVelX,cube0AngVelY,cube0AngVelZ,cube0Density,cube0Mass,cube0HWD,cube0SF,cube0DF,cube0CR,cube1PosX,cube1PosY,cube1PosZ,cube1RotX,cube1RotY,cube1RotZ,cube1VelX,cube1VelY,cube1VelZ,cube1AngVelX,cube1AngVelY,cube1AngVelZ,cube1Density,cube1Mass,cube1HWD,cube1SF,cube1DF,cube1CR,cube2PosX,cube2PosY,cube2PosZ,cube2RotX,cube2RotY,cube2RotZ,cube2VelX,cube2VelY,cube2VelZ,cube2AngVelX,cube2AngVelY,cube2AngVelZ,cube2Density,cube2Mass,cube2HWD,cube2SF,cube2DF,cube2CR,,並進バネ,並進ダンパ,回転バネ,回転ダンパ,floorDF,floorSF,floorCR,
0.142903,0.142903,6.99775,-2,0.3,-4.79629e-09,0,0,0,0.0559568,0.00323297,-0.00521548,0.00532898,-0.0179387,-0.0443205,500,62.5,0.5,100,100,0,2,0.3,5.05512e-09,0,0,0,-0.0543619,0.0015229,0.00323218,-0.0207581,0.0398248,-0.0826983,500,62.5,0.5,100,100,0,2.57563e-08,0.5,-2.16225e-10,0,0,0,7.36955e-06,-7.36138e-06,1.99473e-08,2.96692e-08,4.81865e-10,-1.47257e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.175752,0.032849,30.4423,-1.99943,0.299608,-6.86762e-05,-0.00276759,-0.011003,-0.0645241,0.0462615,-0.030891,-0.00555605,-0.0026479,-0.0156762,-0.0895545,500,62.5,0.5,100,100,0,1.99948,0.29957,3.53686e-05,-0.011484,0.0241851,-0.0152634,-0.0422755,-0.0337695,0.00313771,-0.0177123,0.0296431,-0.0187762,500,62.5,0.5,100,100,0,1.4354e-07,0.5,2.21502e-08,-6.05901e-07,1.47129e-06,3.87509e-05,-0.000153536,-2.60914e-05,9.62411e-05,7.08831e-05,-2.06814e-06,7.87543e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.201605,0.025853,38.6802,-1.99925,0.298987,-7.92209e-05,0.00161914,0.00230101,-0.018899,0.0221119,-0.0495761,-0.00255585,0.00387899,0.00944443,0.0597391,500,62.5,0.5,100,100,0,1.99931,0.299,6.83135e-05,0.00372825,-0.0107591,0.0439798,-0.0196897,-0.0506117,0.00200661,0.0209176,-0.0402488,0.0594882,500,62.5,0.5,100,100,0,1.63898e-07,0.5,1.23524e-08,8.25519e-07,6.75685e-08,4.77375e-05,-0.000163268,-2.77433e-05,9.97906e-05,7.27494e-05,-2.27848e-06,8.3553e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.229061,0.027456,36.4219,-1.99931,0.298445,-7.46087e-05,0.00148132,0.00457001,-0.0216825,0.00593183,-0.0651035,-0.00195401,-0.000758534,-0.00162756,0.0311947,500,62.5,0.5,100,100,0,1.99935,0.298419,6.06939e-05,0.0109957,-0.00999925,0.0549346,-0.00635142,-0.0718823,0.000244445,0.0108763,-0.0040072,-0.020841,500,62.5,0.5,100,100,0,7.85142e-08,0.5,-9.50209e-09,2.50914e-06,2.48072e-06,5.74624e-05,-0.000165893,-2.83428e-05,9.95421e-05,7.14413e-05,-2.37886e-06,8.38816e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.255418,0.026357,37.9406,-1.99948,0.297793,-6.88827e-05,-0.00441196,-0.00451841,-0.0285194,-0.0111687,-0.0449682,0.000528431,-0.00912042,-0.0157439,-0.00475245,500,62.5,0.5,100,100,0,1.99954,0.297766,3.05565e-05,-0.0106554,0.0105027,-0.0248683,0.0129345,-0.04387,-0.00249264,-0.030321,0.0288074,-0.111069,500,62.5,0.5,100,100,0,1.42135e-07,0.5,1.12327e-08,-1.7825e-06,-9.8354e-07,4.13616e-05,-0.000163026,-2.77831e-05,0.000101537,7.27878e-05,-2.20064e-06,8.30916e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.28053,0.025112,39.8216,-1.99974,0.297722,-3.99608e-05,0.000180035,-0.00128881,-0.0383125,-0.0214355,-0.006111,0.00203293,0.00262285,0.000980336,0.00810038,500,62.5,0.5,100,100,0,1.9998,0.297742,4.21073e-06,-0.00142327,0.00283851,0.0371147,0.0222961,-0.00557166,-0.00393329,0.0095985,0.00271684,0.030796,500,62.5,0.5,100,100,0,5.90065e-08,0.5,1.65091e-08,-3.18423e-06,-4.4553e-07,5.38773e-05,-0.00016547,-2.8363e-05,0.000100562,7.13248e-05,-2.32571e-06,8.32396e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.306741,0.026211,38.1519,-2.00001,0.297967,-8.69512e-06,0.00108168,0.00184454,-0.0442953,-0.0261062,0.00598631,0.00323177,0.00434641,0.00780091,-0.0057468,500,62.5,0.5,100,100,0,2.00005,0.297998,-2.78084e-05,0.00709833,0.000242918,0.0454853,0.0242139,0.0199529,-0.00418309,0.0110265,0.0055227,-0.0134121,500,62.5,0.5,100,100,0,1.67255e-07,0.5,3.67809e-08,1.1693e-05,2.75505e-06,4.91438e-05,-0.000162444,-2.75783e-05,0.000101523,7.32719e-05,-2.17563e-06,8.34088e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.332497,0.025756,38.8259,-2.00021,0.29821,2.10852e-05,0.001025,0.00318491,-0.0385712,-0.0239311,0.0111195,0.00370762,0.00347668,0.00772836,-0.00469135,500,62.5,0.5,100,100,0,2.00023,0.29835,-5.38203e-05,9.98415e-06,0.00318547,0.0264411,0.021088,0.031203,-0.00375202,-0.0100752,0.0122597,-0.0330206,500,62.5,0.5,100,100,0,9.68947e-08,0.5,-2.65891e-08,-2.31116e-06,1.39442e-06,4.38206e-05,-0.000166568,-2.69374e-05,9.85859e-05,7.70478e-05,-2.46514e-06,8.80781e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.355083,0.022586,44.2752,-2.00033,0.298423,4.26297e-05,0.000683702,0.00178188,-0.0425534,-0.0191143,0.0119724,0.00340516,0.00345606,0.00551826,-0.0266432,500,62.5,0.5,100,100,0,2.00032,0.298687,-6.58081e-05,-0.00243537,0.00271436,0.0360946,0.0155116,0.0331086,-0.00282227,-0.00651218,0.00880536,0.015443,500,62.5,0.5,100,100,0,1.13768e-07,0.5,-4.49639e-08,1.22328e-06,9.4418e-07,5.1253e-05,-0.000164187,-2.64836e-05,0.000100184,7.77205e-05,-2.31657e-06,8.71935e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.375102,0.020019,49.9525,-2.00037,0.298569,5.53787e-05,0.000995918,0.00178337,-0.0452788,-0.0133044,0.0098641,0.00273695,0.00457676,0.0071992,-0.0337546,500,62.5,0.5,100,100,0,2.00034,0.298921,-6.59432e-05,0.0011282,0.00150031,0.0429439,0.00927545,0.0287828,-0.00167504,0.000808632,0.0062567,0.0300058,500,62.5,0.5,100,100,0,1.05813e-07,0.5,3.24605e-08,-6.92695e-06,1.34061e-06,3.94306e-05,-0.000163552,-2.82643e-05,0.000103666,7.12497e-05,-2.13989e-06,8.1278e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.400124,0.025022,39.9648,-2.00035,0.298647,5.86796e-05,0.00122196,0.00197637,-0.0435468,-0.00803282,0.00637767,0.00195012,0.0044808,0.00726963,-0.0317104,500,62.5,0.5,100,100,0,2.0003,0.299036,-5.74745e-05,0.000718187,0.00123275,0.0390997,0.00386473,0.0212337,-0.000630346,-0.00410169,0.00548451,0.0263543,500,62.5,0.5,100,100,0,1.96675e-08,0.5,8.64178e-09,-2.71662e-06,2.80001e-06,4.7633e-05,-0.000164992,-2.96063e-05,9.8616e-05,6.64341e-05,-2.35966e-06,8.04521e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.419256,0.019132,52.2685,-2.0003,0.298675,5.45676e-05,0.00100302,0.00151933,-0.0425366,-0.00399362,0.00321385,0.00121029,0.00353362,0.00573677,-0.0314271,500,62.5,0.5,100,100,0,2.00023,0.29906,-4.34145e-05,-0.00100423,0.000871351,0.0384537,-3.2094e-05,0.0137545,0.000156819,-0.0059658,0.00393879,0.0305959,500,62.5,0.5,100,100,0,1.11697e-07,0.5,3.57167e-09,-9.97973e-06,3.83585e-07,3.49493e-05,-0.000162612,-2.63104e-05,0.000100707,7.79623e-05,-2.23874e-06,8.65669e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.438424,0.019168,52.1703,-2.00024,0.298669,4.61328e-05,0.000811735,0.00109838,-0.0418977,-0.00125663,0.000614229,0.0005939,0.00308155,0.00473326,-0.0287627,500,62.5,0.5,100,100,0,2.00016,0.299017,-2.8087e-05,-0.000268237,0.000454933,0.0382458,-0.00215066,0.0072682,0.000596295,-0.00233888,0.00239482,0.0284169,500,62.5,0.5,100,100,0,9.20896e-08,0.5,1.2833e-08,-6.01952e-06,-2.3897e-08,4.26417e-05,-0.000164374,-2.73419e-05,0.000100899,7.45497e-05,-2.28409e-06,8.4934e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.461375,0.022951,43.5711,-2.00017,0.298646,3.57946e-05,0.000795617,0.000913454,-0.0405061,0.000496531,-0.00107044,0.000142249,0.00275928,0.00378528,-0.0235549,500,62.5,0.5,100,100,0,2.00009,0.298937,-1.44821e-05,0.000521976,0.000198617,0.0359931,-0.00300543,0.00262878,0.000756617,-0.00137422,0.00139363,0.0204395,500,62.5,0.5,100,100,0,1.10159e-07,0.5,8.17204e-09,-1.36762e-05,2.27962e-06,3.11337e-05,-0.000163055,-2.63382e-05,0.000100487,7.80999e-05,-2.27675e-06,8.61963e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.4896,0.028225,35.4296,-2.00011,0.298617,2.50915e-05,0.0006625,0.000617228,-0.0392073,0.00147639,-0.00188098,-0.000160388,0.00209309,0.00258545,-0.0189875,500,62.5,0.5,100,100,0,2.00004,0.298848,-3.88939e-06,0.000224676,8.15986e-05,0.034286,-0.00308009,-0.000304081,0.000734182,-0.00207611,0.000685819,0.0140806,500,62.5,0.5,100,100,0,3.48459e-08,0.5,4.08756e-08,3.25422e-06,1.87432e-06,5.65069e-05,-0.000163739,-2.8905e-05,0.000100869,6.8508e-05,-2.24448e-06,8.02503e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.51662,0.02702,37.0096,-2.00006,0.298591,1.54148e-05,0.000476306,0.000384453,-0.0384838,0.00174785,-0.0020584,-0.00032936,0.00154098,0.00181095,-0.0156461,500,62.5,0.5,100,100,0,2,0.298763,3.20688e-06,0.000226989,-4.25109e-05,0.0329621,-0.00274755,-0.00186058,0.000591871,-0.00116732,8.71224e-05,0.00839933,500,62.5,0.5,100,100,0,5.06155e-08,0.5,2.10792e-08,-3.72043e-06,1.37916e-06,4.4252e-05,-0.000163922,-2.78246e-05,9.96608e-05,7.27887e-05,-2.30535e-06,8.39827e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.539571,0.022951,43.5711,-2.00003,0.298573,7.69896e-06,0.000378363,0.000317663,-0.0379055,0.00148576,-0.00179707,-0.000368833,0.00127128,0.00132834,-0.0125132,500,62.5,0.5,100,100,0,1.99998,0.298695,6.76399e-06,0.000643014,-8.71194e-05,0.0322199,-0.00204642,-0.00222907,0.000382954,-7.85929e-05,-0.000120294,0.00402325,500,62.5,0.5,100,100,0,1.56433e-07,0.5,1.695e-08,-1.1309e-05,-6.49564e-08,3.1831e-05,-0.000162845,-2.63323e-05,0.000100881,7.79668e-05,-2.23564e-06,8.68759e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.561761,0.02219,45.0653,-2.00001,0.298563,2.23438e-06,0.00036013,0.000234038,-0.0373047,0.001025,-0.00122791,-0.000331874,0.00107951,0.000734408,-0.00996516,500,62.5,0.5,100,100,0,1.99997,0.298647,7.42876e-06,0.000778738,-7.38264e-05,0.0315669,-0.00122584,-0.00182225,0.000171539,-2.21824e-05,-0.000160946,0.00062313,500,62.5,0.5,100,100,0,1.93473e-08,0.5,5.25468e-08,1.90427e-05,4.09557e-06,7.42606e-05,-0.000164565,-2.92105e-05,0.000100896,6.76752e-05,-2.27679e-06,7.97126e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.58556,0.023799,42.0186,-2,0.298561,-1.17143e-06,0.000280103,0.000124639,-0.0370478,0.000504988,-0.000658948,-0.00025669,0.000772362,0.000492312,-0.00888486,500,62.5,0.5,100,100,0,1.99997,0.298617,6.23119e-06,0.000710174,-2.52217e-05,0.0313404,-0.000527347,-0.00112864,-3.4755e-06,-0.00010202,-4.47701e-05,-0.00098957,500,62.5,0.5,100,100,0,9.60506e-08,0.5,-2.78789e-08,-4.05837e-06,-2.51899e-07,4.62024e-05,-0.000164901,-2.75807e-05,9.79102e-05,7.41944e-05,-2.39917e-06,8.66429e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.608556,0.022996,43.4858,-2,0.298564,-2.83888e-06,0.000210045,0.000183036,-0.0369517,0.000111361,-0.000181313,-0.000173522,0.000618529,0.000577365,-0.00816569,500,62.5,0.5,100,100,0,1.99998,0.298603,4.07173e-06,0.00076192,1.52294e-05,0.0313905,-4.11142e-05,-0.000395491,-0.000119708,0.000141918,2.91256e-05,-0.00167276,500,62.5,0.5,100,100,0,1.27373e-07,0.5,-6.06288e-08,-1.07621e-05,3.03823e-06,3.37664e-05,-0.000164032,-2.65535e-05,9.95423e-05,7.73605e-05,-2.33209e-06,8.71262e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.628854,0.020298,49.2659,-2,0.29857,-3.34192e-06,0.000206166,0.000205379,-0.0368215,-0.000167019,8.74474e-05,-8.99879e-05,0.000579249,0.000574514,-0.00775114,500,62.5,0.5,100,100,0,1.99998,0.298599,1.747e-06,0.000828621,-9.4666e-06,0.0312975,0.000231106,0.000220788,-0.000176509,0.000209521,4.45858e-05,-0.00186793,500,62.5,0.5,100,100,0,4.53143e-08,0.5,2.24264e-09,2.17887e-06,-1.50578e-07,6.21724e-05,-0.000163897,-2.83618e-05,0.00010249,7.07229e-05,-2.20278e-06,8.11265e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.650821,0.021967,45.5228,-2,0.298576,-3.04992e-06,0.000202047,0.000226808,-0.0367651,-0.000296668,0.000275992,-2.98511e-05,0.000494164,0.000567837,-0.00751549,500,62.5,0.5,100,100,0,1.99999,0.298601,-2.32934e-07,0.00081681,6.76727e-06,0.0315347,0.000338794,0.00065589,-0.000182228,0.000118493,0.000154141,-0.0010997,500,62.5,0.5,100,100,0,5.37998e-09,0.5,8.74197e-09,-4.83388e-06,1.2285e-06,5.01027e-05,-0.000164537,-2.81907e-05,0.000100709,7.17906e-05,-2.29117e-06,8.28938e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.670425,0.019604,51.01,-2,0.298581,-2.41875e-06,0.000162387,0.000219346,-0.0367407,-0.000303945,0.000294444,7.84295e-06,0.000341113,0.000598831,-0.00740593,500,62.5,0.5,100,100,0,2,0.298605,-1.6357e-06,0.00079062,3.35261e-05,0.0318199,0.00033131,0.000885563,-0.000158363,5.43431e-05,0.000236993,-0.00039605,500,62.5,0.5,100,100,0,1.12204e-07,0.5,-2.57715e-08,-1.19992e-05,1.68226e-06,3.75505e-05,-0.00016302,-2.65375e-05,9.95159e-05,7.72372e-05,-2.28813e-06,8.69805e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.693984,0.023559,42.4466,-2,0.298584,-1.70199e-06,0.000108218,0.000222687,-0.036653,-0.000246129,0.000258517,2.45892e-05,0.000291303,0.00069563,-0.00708431,500,62.5,0.5,100,100,0,2,0.29861,-2.34657e-06,0.000781345,1.72134e-05,0.0318583,0.000226526,0.000952774,-0.000118478,3.84451e-05,0.000230706,-0.000130201,500,62.5,0.5,100,100,0,7.98898e-08,0.5,-4.79956e-08,-7.51863e-06,2.2157e-06,4.51679e-05,-0.000164743,-2.72863e-05,9.95422e-05,7.47217e-05,-2.34909e-06,8.56538e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.718381,0.024397,40.9886,-2,0.298586,-1.05403e-06,0.000144789,0.000265393,-0.0364211,-0.000205781,0.000245883,3.05718e-05,0.00032983,0.000825895,-0.00672235,500,62.5,0.5,100,100,0,2,0.298613,-2.55438e-06,0.000778263,3.38098e-05,0.0319669,0.000107943,0.000889477,-7.9778e-05,-3.406e-07,0.000299928,0.000525527,500,62.5,0.5,100,100,0,1.60439e-07,0.5,5.59293e-08,-1.06129e-05,6.81538e-07,2.81757e-05,-0.000161166,-2.92235e-05,0.000104073,6.68073e-05,-2.01196e-06,7.75222e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.738475,0.020094,49.7661,-2,0.298588,-5.88681e-07,0.000130238,0.000298079,-0.0364947,-0.000165199,0.000192229,2.5442e-05,0.000197406,0.000893633,-0.00687696,500,62.5,0.5,100,100,0,2,0.298615,-2.40196e-06,0.000758912,3.44728e-05,0.0320549,4.49375e-06,0.000749952,-4.61094e-05,-2.77241e-05,0.000210487,0.00113276,500,62.5,0.5,100,100,0,6.4706e-08,0.5,3.56534e-08,5.06154e-06,1.24916e-06,5.51625e-05,-0.000164674,-2.8872e-05,9.87804e-05,6.90597e-05,-2.36062e-06,8.16455e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.76129,0.022815,43.8308,-2,0.298588,-3.3472e-07,8.37065e-05,0.000302813,-0.036505,-6.46269e-05,0.000175308,1.42125e-05,9.18493e-05,0.000914992,-0.00636712,500,62.5,0.5,100,100,0,2,0.298615,-2.0101e-06,0.000769618,2.09524e-05,0.0322711,-8.72473e-05,0.000626261,-1.79608e-05,-5.99207e-06,0.000110239,0.00150166,500,62.5,0.5,100,100,0,6.79618e-08,0.5,4.02754e-08,-2.30515e-06,1.68405e-06,4.31674e-05,-0.000163546,-2.93306e-05,0.000100056,6.7046e-05,-2.24976e-06,8.00456e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.785076,0.023786,42.0415,-2,0.298589,-2.6151e-07,8.27231e-05,0.000281221,-0.036218,1.18863e-05,0.00017919,1.14643e-06,9.92295e-05,0.000947494,-0.00569755,500,62.5,0.5,100,100,0,2,0.298614,-1.48384e-06,0.000769803,-5.93362e-05,0.0321424,-0.000171308,0.000521761,2.31124e-06,-1.60999e-05,-4.25924e-05,0.00134067,500,62.5,0.5,100,100,0,1.13727e-07,0.5,-2.15442e-08,1.93907e-06,2.81571e-07,5.00698e-05,-0.000163536,-2.67252e-05,9.80711e-05,7.66287e-05,-2.36736e-06,8.68507e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.807602,0.022526,44.3931,-2,0.298589,-2.92816e-07,8.86584e-05,0.000273096,-0.0362082,5.10715e-05,0.000187057,-1.60275e-05,7.31768e-05,0.00091359,-0.00577434,500,62.5,0.5,100,100,0,2,0.298613,-1.0416e-06,0.000764715,-3.03224e-05,0.0322308,-0.000200339,0.000473013,1.05565e-05,-1.38484e-05,1.64683e-05,0.00161577,500,62.5,0.5,100,100,0,5.92065e-08,0.5,-4.4886e-08,3.46623e-06,8.12284e-07,5.97443e-05,-0.000165441,-2.81784e-05,9.94926e-05,7.17994e-05,-2.36159e-06,8.41409e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.832249,0.024647,40.5729,-2,0.298589,-4.55778e-07,6.60073e-05,0.000289437,-0.0362002,7.29273e-05,0.000188086,-2.96398e-05,-7.1227e-06,0.000966571,-0.00555869,500,62.5,0.5,100,100,0,2,0.298611,-6.68397e-07,0.000760627,-3.4929e-05,0.0322541,-0.000193468,0.000432288,8.42551e-06,-1.19051e-05,-8.46431e-05,0.00161279,500,62.5,0.5,100,100,0,1.07155e-07,0.5,3.56423e-08,1.40578e-05,2.1799e-07,5.87373e-05,-0.000162816,-2.8058e-05,0.000103994,7.18444e-05,-2.09962e-06,8.14165e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.855888,0.023639,42.303,-2,0.298589,-6.85272e-07,5.11988e-05,0.00027221,-0.0361281,9.04445e-05,0.000213851,-3.93301e-05,-3.57636e-05,0.000934785,-0.00528307,500,62.5,0.5,100,100,0,2,0.29861,-4.08948e-07,0.000766633,-7.66676e-05,0.0322125,-0.000168713,0.000399815,6.46023e-06,4.10428e-06,-0.000158931,0.00160136,500,62.5,0.5,100,100,0,1.09541e-07,0.5,2.01403e-11,4.22705e-06,2.6129e-06,4.85047e-05,-0.00016583,-2.80912e-05,9.96433e-05,7.2707e-05,-2.36592e-06,8.52115e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.878095,0.022207,45.0308,-2,0.29859,-8.92675e-07,4.96047e-05,0.000291453,-0.0360559,9.32351e-05,0.000240276,-4.32625e-05,-4.58425e-05,0.00094842,-0.00513348,500,62.5,0.5,100,100,0,2,0.298609,-2.61938e-07,0.000781277,-7.68566e-05,0.0322144,-0.000160542,0.000403546,5.67055e-06,4.33875e-05,-0.000136194,0.00173404,500,62.5,0.5,100,100,0,5.31253e-08,0.5,-2.12821e-08,-9.32893e-06,1.22585e-06,4.27241e-05,-0.000164904,-2.81249e-05,9.94987e-05,7.20407e-05,-2.35028e-06,8.36866e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.9045,0.026405,37.8716,-2,0.298591,-1.0647e-06,5.07013e-05,0.00029912,-0.0359859,7.58192e-05,0.000288875,-4.4487e-05,-4.99321e-05,0.000999649,-0.00496537,500,62.5,0.5,100,100,0,2,0.298609,-1.8952e-07,0.00077908,-4.92595e-05,0.0323026,-0.000153141,0.000409388,8.30143e-07,1.02106e-06,-0.000138925,0.00182223,500,62.5,0.5,100,100,0,9.98685e-08,0.5,1.37095e-09,-4.33101e-07,-2.33664e-07,4.49716e-05,-0.000162512,-2.771e-05,0.000101149,7.26493e-05,-2.19891e-06,8.27463e-05,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.926483,0.021983,45.4897,-2,0.298591,-1.19195e-06,2.91543e-05,0.00035029,-0.0360819,4.29904e-05,0.000299222,-4.22588e-05,-0.000104611,0.00104858,-0.00504134,500,62.5,0.5,100,100,0,2,0.298608,-1.2531e-07,0.000761842,-0.000102202,0.0322616,-0.000134224,0.0004102,2.55273e-07,-2.29115e-05,-0.0002791,0.00173126,500,62.5,0.5,100,100,0,9.98685e-08,0.5,1.37095e-09,-4.33101e-07,-2.33664e-07,4.49716e-05,0,0,0,0,0,0,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.951718,0.025235,39.6275,-2,0.298592,-1.29528e-06,4.17024e-05,0.000290671,-0.0359388,3.78486e-05,0.000287442,-4.05536e-05,-7.16892e-05,0.000891844,-0.00465824,500,62.5,0.5,100,100,0,2,0.298608,-1.12927e-07,0.00076479,-0.000116186,0.0322425,-0.000111654,0.000410158,-2.14323e-06,1.29549e-06,-0.000223549,0.00183884,500,62.5,0.5,100,100,0,9.98685e-08,0.5,1.37095e-09,-4.33101e-07,-2.33664e-07,4.49716e-05,0,0,0,0,0,0,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
0.977197,0.025479,39.248,-2,0.298592,-1.32177e-06,2.55957e-05,0.00031267,-0.0359458,2.66164e-05,0.000270496,-4.00756e-05,-0.000116895,0.00098391,-0.00477133,500,62.5,0.5,100,100,0,2,0.298608,-1.64918e-07,0.000776999,-5.11003e-05,0.0323928,-6.32991e-05,0.000418833,-7.14436e-06,1.83885e-05,-0.00012344,0.0020899,500,62.5,0.5,100,100,0,9.98685e-08,0.5,1.37095e-09,-4.33101e-07,-2.33664e-07,4.49716e-05,0,0,0,0,0,0,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
1.00281,0.025616,39.0381,-2,0.298592,-1.34148e-06,2.51833e-05,0.000286588,-0.0360188,1.45585e-05,0.000261175,-3.87917e-05,-0.000127703,0.00092379,-0.0047752,500,62.5,0.5,100,100,0,2,0.298608,-2.04468e-07,0.000769232,-6.77651e-05,0.0322885,-1.15187e-05,0.000376974,-1.18685e-05,-1.85627e-05,-0.000210751,0.00192896,500,62.5,0.5,100,100,0,9.98685e-08,0.5,1.37095e-09,-4.33101e-07,-2.33664e-07,4.49716e-05,0,0,0,0,0,0,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
1.02719,0.024377,41.0223,-2,0.298592,-1.31779e-06,1.89071e-05,0.000339984,-0.0359588,9.24492e-06,0.000261118,-3.87343e-05,-0.000135775,0.00110135,-0.00448188,500,62.5,0.5,100,100,0,2,0.298607,-2.55523e-07,0.000762299,-8.16166e-05,0.0323102,-3.95022e-07,0.000374263,-1.25505e-05,-2.76844e-05,-0.000216699,0.0020758,500,62.5,0.5,100,100,0,9.98685e-08,0.5,1.37095e-09,-4.33101e-07,-2.33664e-07,4.49716e-05,0,0,0,0,0,0,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
1.0525,0.025309,39.5116,-2,0.298592,-1.31753e-06,2.51953e-05,0.000364763,-0.0357656,-6.70836e-06,0.000283923,-3.82271e-05,-0.000109405,0.00106122,-0.00436061,500,62.5,0.5,100,100,0,2,0.298607,-3.03552e-07,0.000770548,-7.51818e-05,0.0323319,6.30157e-06,0.000369852,-1.10977e-05,7.39995e-06,-0.000168085,0.00222174,500,62.5,0.5,100,100,0,9.98685e-08,0.5,1.37095e-09,-4.33101e-07,-2.33664e-07,4.49716e-05,0,0,0,0,0,0,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
1.07325,0.020753,48.1858,-2,0.298592,-1.35077e-06,3.2826e-05,0.000300212,-0.0360337,-1.28674e-05,0.000278711,-4.22351e-05,-0.000136705,0.000933663,-0.00482097,500,62.5,0.5,100,100,0,2,0.298607,-3.32584e-07,0.000768276,-5.74772e-05,0.0324609,-6.66452e-07,0.000344939,-1.26501e-05,-1.54043e-05,-0.000141735,0.00235898,500,62.5,0.5,100,100,0,9.98685e-08,0.5,1.37095e-09,-4.33101e-07,-2.33664e-07,4.49716e-05,0,0,0,0,0,0,1000,1000,1,100,100,0,,200000,1000,100000,100,0,0,0,
